Timestamp,Log Message,Message,User Path,Customer Path,Lot ID,Wafer ID,Port ID,Date,Time
2022-01-10 18:50:35.068000,Duration = 00:06:09<Wafer Run - Lot name: USERS\JSR\AR128172-7651. Wafer ID: @09@001. Port No: 2>,00:06:09,USERS,JSR,AR128172-7651. ,@09@001. ,2,2022-01-10 00:00:00,18:50:35.068000
2022-01-10 18:50:53.918000,Duration = 00:04:58<Wafer Run - Lot name: USERS\JSR\AR128172-7651. Wafer ID: @10@001. Port No: 2>,00:04:58,USERS,JSR,AR128172-7651. ,@10@001. ,2,2022-01-10 00:00:00,18:50:53.918000
2022-01-10 18:51:02.825000,Lot End <USERS\JSR\AR128172-7651>,Lot End ,USERS,JSR,AR128172-7651,,,2022-01-10 00:00:00,18:51:02.825000
2022-01-10 18:51:04.569000,Lot Start <USERS\JSR\AR128172-F-7651>,Lot Start ,USERS,JSR,AR128172-F-7651,,,2022-01-10 00:00:00,18:51:04.569000
2022-01-10 18:52:02.545000,Lot End <USERS\JSR\AR128172-F-7651>,Lot End ,USERS,JSR,AR128172-F-7651,,,2022-01-10 00:00:00,18:52:02.545000
2022-01-10 18:52:03.905000,Lot Start <USERS\JSR\AR128172-D-7651>,Lot Start ,USERS,JSR,AR128172-D-7651,,,2022-01-10 00:00:00,18:52:03.905000
2022-01-10 18:52:38.006000,Lot End <USERS\JSR\AR128172-D-7651>,Lot End ,USERS,JSR,AR128172-D-7651,,,2022-01-10 00:00:00,18:52:38.006000
2022-01-10 18:54:22.359000,Lot Start <USERS\JSR\AR128172-C-7651>,Lot Start ,USERS,JSR,AR128172-C-7651,,,2022-01-10 00:00:00,18:54:22.359000
2022-01-10 19:00:43.548000,Duration = 00:05:56<Wafer Run - Lot name: USERS\JSR\AR128172-C-7651. Wafer ID: @09@001. Port No: 1>,00:05:56,USERS,JSR,AR128172-C-7651. ,@09@001. ,1,2022-01-10 00:00:00,19:00:43.548000
2022-01-11 00:05:19.665000,Duration = 00:09:07<Wafer Run - Lot name: USERS\JSR\BVE-AR128820-100122-PAT-E542. Wafer ID: @08@001. Port No: 2>,00:09:07,USERS,JSR,BVE-AR128820-100122-PAT-E542. ,@08@001. ,2,2022-01-11 00:00:00,00:05:19.665000
2022-01-11 00:14:56.337000,Duration = 00:09:07<Wafer Run - Lot name: USERS\JSR\BVE-AR128820-100122-PAT-E542. Wafer ID: @09@001. Port No: 2>,00:09:07,USERS,JSR,BVE-AR128820-100122-PAT-E542. ,@09@001. ,2,2022-01-11 00:00:00,00:14:56.337000
2022-01-11 00:24:34.996000,Duration = 00:09:08<Wafer Run - Lot name: USERS\JSR\BVE-AR128820-100122-PAT-E542. Wafer ID: @10@001. Port No: 2>,00:09:08,USERS,JSR,BVE-AR128820-100122-PAT-E542. ,@10@001. ,2,2022-01-11 00:00:00,00:24:34.996000
2022-01-11 00:34:13.542000,Duration = 00:09:08<Wafer Run - Lot name: USERS\JSR\BVE-AR128820-100122-PAT-E542. Wafer ID: @11@001. Port No: 2>,00:09:08,USERS,JSR,BVE-AR128820-100122-PAT-E542. ,@11@001. ,2,2022-01-11 00:00:00,00:34:13.542000
2022-01-11 00:43:50.199000,Duration = 00:09:07<Wafer Run - Lot name: USERS\JSR\BVE-AR128820-100122-PAT-E542. Wafer ID: @12@001. Port No: 2>,00:09:07,USERS,JSR,BVE-AR128820-100122-PAT-E542. ,@12@001. ,2,2022-01-11 00:00:00,00:43:50.199000
2022-01-11 00:53:28.189000,Duration = 00:09:07<Wafer Run - Lot name: USERS\JSR\BVE-AR128820-100122-PAT-E542. Wafer ID: @13@001. Port No: 2>,00:09:07,USERS,JSR,BVE-AR128820-100122-PAT-E542. ,@13@001. ,2,2022-01-11 00:00:00,00:53:28.189000
2022-01-11 00:53:32.300000,Lot End <USERS\JSR\BVE-AR128820-100122-PAT-E542>,Lot End ,USERS,JSR,BVE-AR128820-100122-PAT-E542,,,2022-01-11 00:00:00,00:53:32.300000
2022-01-11 00:53:33.607000,Lot Start <USERS\JSR\BVE-AR128525-100122-UNPAT>,Lot Start ,USERS,JSR,BVE-AR128525-100122-UNPAT,,,2022-01-11 00:00:00,00:53:33.607000
